Attack,Attack_Cost,Attack_Perm,AttackSpeed,AttackSpeed_Cost,AttackSpeed_Perm,CriticalChance,CriticalChance_Cost,CriticalChance_Perm,CriticalDamage,CriticalDamage_Cost,CriticalDamage_Perm,AttackRange,AttackRange_Cost,AttackRange_Perm,Health,Health_Cost,Health_Perm,Regeneration,Regeneration_Cost,Regeneration_Perm,Defense,Defense_Cost,Defense_Perm,Reflection,Reflection_Cost,Reflection_Perm,LifeSteal,LifeSteal_Cost,LifeSteal_Perm,GoldMultiplier,GoldMultiplier_Cost,GoldMultiplier_Perm,GoldPerWave,GoldPerWave_Cost,GoldPerWave_Perm,CoinMultiplier,CoinMultiplier_Cost,CoinMultiplier_Perm,CoinPerWave,CoinPerWave_Cost,CoinPerWave_Perm,,,
4804452,572241748,35545800609,,,,,,,,,,,,,10988155901,572241748,35545800609,1011344,572241748,35545800609,606732020,1615695589,35545800629,,,,,,,,,,,,,,,,,,,,,
4805669,572456625,35559311104,,,,,,,,,,,,,10992340146,572456625,35559311104,1011601,572456625,35559311104,606963076,1616308664,35559311124,,,,,,,,,,,,,,,,,,,,,
4806886,572671556,35572825023,,,,,,,,,,,,,10996525453,572671556,35572825023,1011858,572671556,35572825023,607194191,1616921894,35572825043,,,,,,,,,,,,,,,,,,,,,
4808104,572886541,35586342365,,,,,,,,,,,,,11000711823,572886541,35586342365,1012115,572886541,35586342365,607425364,1617535280,35586342385,,,,,,,,,,,,,,,,,,,,,
4809322,573101580,35599863131,,,,,,,,,,,,,11004899254,573101580,35599863131,1012372,573101580,35599863131,607656597,1618148820,35599863151,,,,,,,,,,,,,,,,,,,,,
4810539,573316673,35613387321,,,,,,,,,,,,,11009087749,573316673,35613387321,1012629,573316673,35613387321,607887888,1618762516,35613387341,,,,,,,,,,,,,,,,,,,,,
4811757,573531819,35626914936,,,,,,,,,,,,,11013277306,573531819,35626914936,1012886,573531819,35626914936,608119237,1619376366,35626914956,,,,,,,,,,,,,,,,,,,,,
4812975,573747019,35640445977,,,,,,,,,,,,,11017467926,573747019,35640445977,1013143,573747019,35640445977,608350645,1619990372,35640445997,,,,,,,,,,,,,,,,,,,,,
4814194,573962273,35653980442,,,,,,,,,,,,,11021659608,573962273,35653980442,1013400,573962273,35653980442,608582112,1620604533,35653980462,,,,,,,,,,,,,,,,,,,,,
4815412,574177581,35667518334,,,,,,,,,,,,,11025852354,574177581,35667518334,1013657,574177581,35667518334,608813638,1621218849,35667518354,,,,,,,,,,,,,,,,,,,,,
4816630,574392942,35681059653,,,,,,,,,,,,,11030046163,574392942,35681059653,1013914,574392942,35681059653,609045223,1621833321,35681059673,,,,,,,,,,,,,,,,,,,,,
4817849,574608357,35694604398,,,,,,,,,,,,,11034241035,574608357,35694604398,1014171,574608357,35694604398,609276866,1622447947,35694604418,,,,,,,,,,,,,,,,,,,,,
4819068,574823827,35708152570,,,,,,,,,,,,,11038436971,574823827,35708152570,1014429,574823827,35708152570,609508568,1623062729,35708152590,,,,,,,,,,,,,,,,,,,,,
4820287,575039350,35721704171,,,,,,,,,,,,,11042633970,575039350,35721704171,1014686,575039350,35721704171,609740328,1623677667,35721704191,,,,,,,,,,,,,,,,,,,,,
4821506,575254927,35735259199,,,,,,,,,,,,,11046832033,575254927,35735259199,1014943,575254927,35735259199,609972147,1624292759,35735259219,,,,,,,,,,,,,,,,,,,,,
4822725,575470557,35748817656,,,,,,,,,,,,,11051031160,575470557,35748817656,1015200,575470557,35748817656,610204026,1624908007,35748817676,,,,,,,,,,,,,,,,,,,,,
4823945,575686242,35762379542,,,,,,,,,,,,,11055231351,575686242,35762379542,1015458,575686242,35762379542,610435962,1625523410,35762379562,,,,,,,,,,,,,,,,,,,,,
4825164,575901981,35775944858,,,,,,,,,,,,,11059432606,575901981,35775944858,1015715,575901981,35775944858,610667958,1626138969,35775944878,,,,,,,,,,,,,,,,,,,,,
4826384,576117773,35789513604,,,,,,,,,,,,,11063634925,576117773,35789513604,1015973,576117773,35789513604,610900012,1626754683,35789513624,,,,,,,,,,,,,,,,,,,,,
4827604,576333619,35803085780,,,,,,,,,,,,,11067838308,576333619,35803085780,1016230,576333619,35803085780,611132125,1627370552,35803085800,,,,,,,,,,,,,,,,,,,,,
4828824,576549519,35816661387,,,,,,,,,,,,,11072042756,576549519,35816661387,1016487,576549519,35816661387,611364297,1627986577,35816661407,,,,,,,,,,,,,,,,,,,,,
4830044,576765474,35830240425,,,,,,,,,,,,,11076248269,576765474,35830240425,1016745,576765474,35830240425,611596528,1628602757,35830240445,,,,,,,,,,,,,,,,,,,,,
4831265,576981482,35843822894,,,,,,,,,,,,,11080454847,576981482,35843822894,1017002,576981482,35843822894,611828818,1629219092,35843822914,,,,,,,,,,,,,,,,,,,,,
4832485,577197543,35857408796,,,,,,,,,,,,,11084662489,577197543,35857408796,1017260,577197543,35857408796,612061166,1629835584,35857408816,,,,,,,,,,,,,,,,,,,,,
4833706,577413659,35870998131,,,,,,,,,,,,,11088871196,577413659,35870998131,1017518,577413659,35870998131,612293573,1630452230,35870998151,,,,,,,,,,,,,,,,,,,,,
4834927,577629829,35884590898,,,,,,,,,,,,,11093080969,577629829,35884590898,1017775,577629829,35884590898,612526039,1631069032,35884590918,,,,,,,,,,,,,,,,,,,,,
4836148,577846053,35898187099,,,,,,,,,,,,,11097291807,577846053,35898187099,1018033,577846053,35898187099,612758564,1631685990,35898187119,,,,,,,,,,,,,,,,,,,,,
4837369,578062330,35911786733,,,,,,,,,,,,,11101503711,578062330,35911786733,1018291,578062330,35911786733,612991148,1632303103,35911786753,,,,,,,,,,,,,,,,,,,,,
4838590,578278662,35925389802,,,,,,,,,,,,,11105716680,578278662,35925389802,1018548,578278662,35925389802,613223790,1632920372,35925389822,,,,,,,,,,,,,,,,,,,,,
4839812,578495048,35938996306,,,,,,,,,,,,,11109930715,578495048,35938996306,1018806,578495048,35938996306,613456492,1633537796,35938996326,,,,,,,,,,,,,,,,,,,,,
4841033,578711487,35952606244,,,,,,,,,,,,,11114145815,578711487,35952606244,1019064,578711487,35952606244,613689252,1634155376,35952606264,,,,,,,,,,,,,,,,,,,,,
4842255,578927981,35966219618,,,,,,,,,,,,,11118361982,578927981,35966219618,1019322,578927981,35966219618,613922071,1634773112,35966219638,,,,,,,,,,,,,,,,,,,,,
4843477,579144528,35979836429,,,,,,,,,,,,,11122579215,579144528,35979836429,1019580,579144528,35979836429,614154949,1635391003,35979836449,,,,,,,,,,,,,,,,,,,,,
4844699,579361129,35993456675,,,,,,,,,,,,,11126797514,579361129,35993456675,1019837,579361129,35993456675,614387886,1636009050,35993456695,,,,,,,,,,,,,,,,,,,,,
4845922,579577785,36007080359,,,,,,,,,,,,,11131016879,579577785,36007080359,1020095,579577785,36007080359,614620882,1636627253,36007080379,,,,,,,,,,,,,,,,,,,,,
4847144,579794494,36020707480,,,,,,,,,,,,,11135237311,579794494,36020707480,1020353,579794494,36020707480,614853936,1637245611,36020707500,,,,,,,,,,,,,,,,,,,,,
4848366,580011258,36034338038,,,,,,,,,,,,,11139458810,580011258,36034338038,1020611,580011258,36034338038,615087050,1637864125,36034338058,,,,,,,,,,,,,,,,,,,,,
4849589,580228075,36047972035,,,,,,,,,,,,,11143681376,580228075,36047972035,1020869,580228075,36047972035,615320222,1638482795,36047972055,,,,,,,,,,,,,,,,,,,,,
4850812,580444947,36061609471,,,,,,,,,,,,,11147905008,580444947,36061609471,1021127,580444947,36061609471,615553454,1639101621,36061609491,,,,,,,,,,,,,,,,,,,,,
4852035,580661872,36075250345,,,,,,,,,,,,,11152129708,580661872,36075250345,1021385,580661872,36075250345,615786744,1639720602,36075250365,,,,,,,,,,,,,,,,,,,,,
4853258,580878851,36088894659,,,,,,,,,,,,,11156355474,580878851,36088894659,1021644,580878851,36088894659,616020093,1640339740,36088894679,,,,,,,,,,,,,,,,,,,,,
4854481,581095885,36102542413,,,,,,,,,,,,,11160582309,581095885,36102542413,1021902,581095885,36102542413,616253501,1640959033,36102542433,,,,,,,,,,,,,,,,,,,,,
4855705,581312973,36116193607,,,,,,,,,,,,,11164810210,581312973,36116193607,1022160,581312973,36116193607,616486969,1641578482,36116193627,,,,,,,,,,,,,,,,,,,,,
4856929,581530114,36129848242,,,,,,,,,,,,,11169039179,581530114,36129848242,1022418,581530114,36129848242,616720495,1642198086,36129848262,,,,,,,,,,,,,,,,,,,,,
4858152,581747310,36143506318,,,,,,,,,,,,,11173269216,581747310,36143506318,1022676,581747310,36143506318,616954080,1642817847,36143506338,,,,,,,,,,,,,,,,,,,,,
4859376,581964560,36157167836,,,,,,,,,,,,,11177500321,581964560,36157167836,1022935,581964560,36157167836,617187724,1643437764,36157167856,,,,,,,,,,,,,,,,,,,,,
4860600,582181863,36170832796,,,,,,,,,,,,,11181732494,582181863,36170832796,1023193,582181863,36170832796,617421427,1644057836,36170832816,,,,,,,,,,,,,,,,,,,,,
4861825,582399221,36184501198,,,,,,,,,,,,,11185965735,582399221,36184501198,1023451,582399221,36184501198,617655189,1644678065,36184501218,,,,,,,,,,,,,,,,,,,,,
4863049,582616633,36198173043,,,,,,,,,,,,,11190200045,582616633,36198173043,1023710,582616633,36198173043,617889010,1645298449,36198173063,,,,,,,,,,,,,,,,,,,,,
4864274,582834099,36211848332,,,,,,,,,,,,,11194435423,582834099,36211848332,1023968,582834099,36211848332,618122890,1645918990,36211848352,,,,,,,,,,,,,,,,,,,,,
4865498,583051619,36225527064,,,,,,,,,,,,,11198671869,583051619,36225527064,1024226,583051619,36225527064,618356829,1646539686,36225527084,,,,,,,,,,,,,,,,,,,,,
4866723,583269194,36239209241,,,,,,,,,,,,,11202909384,583269194,36239209241,1024485,583269194,36239209241,618590827,1647160538,36239209261,,,,,,,,,,,,,,,,,,,,,
4867948,583486822,36252894863,,,,,,,,,,,,,11207147968,583486822,36252894863,1024743,583486822,36252894863,618824884,1647781547,36252894883,,,,,,,,,,,,,,,,,,,,,
4869173,583704505,36266583929,,,,,,,,,,,,,11211387621,583704505,36266583929,1025002,583704505,36266583929,619059000,1648402711,36266583949,,,,,,,,,,,,,,,,,,,,,
4870399,583922241,36280276441,,,,,,,,,,,,,11215628343,583922241,36280276441,1025261,583922241,36280276441,619293175,1649024032,36280276461,,,,,,,,,,,,,,,,,,,,,
4871624,584140032,36293972399,,,,,,,,,,,,,11219870134,584140032,36293972399,1025519,584140032,36293972399,619527409,1649645509,36293972419,,,,,,,,,,,,,,,,,,,,,
4872850,584357877,36307671804,,,,,,,,,,,,,11224112995,584357877,36307671804,1025778,584357877,36307671804,619761703,1650267142,36307671824,,,,,,,,,,,,,,,,,,,,,
4874075,584575776,36321374655,,,,,,,,,,,,,11228356925,584575776,36321374655,1026036,584575776,36321374655,619996055,1650888931,36321374675,,,,,,,,,,,,,,,,,,,,,
4875301,584793729,36335080953,,,,,,,,,,,,,11232601924,584793729,36335080953,1026295,584793729,36335080953,620230466,1651510876,36335080973,,,,,,,,,,,,,,,,,,,,,
4876527,585011736,36348790700,,,,,,,,,,,,,11236847994,585011736,36348790700,1026554,585011736,36348790700,620464937,1652132977,36348790720,,,,,,,,,,,,,,,,,,,,,
4877754,585229798,36362503894,,,,,,,,,,,,,11241095133,585229798,36362503894,1026813,585229798,36362503894,620699466,1652755235,36362503914,,,,,,,,,,,,,,,,,,,,,
4878980,585447913,36376220537,,,,,,,,,,,,,11245343343,585447913,36376220537,1027071,585447913,36376220537,620934055,1653377649,36376220557,,,,,,,,,,,,,,,,,,,,,
4880207,585666083,36389940629,,,,,,,,,,,,,11249592622,585666083,36389940629,1027330,585666083,36389940629,621168703,1654000219,36389940649,,,,,,,,,,,,,,,,,,,,,
4881433,585884307,36403664171,,,,,,,,,,,,,11253842972,585884307,36403664171,1027589,585884307,36403664171,621403410,1654622945,36403664191,,,,,,,,,,,,,,,,,,,,,
4882660,586102585,36417391162,,,,,,,,,,,,,11258094393,586102585,36417391162,1027848,586102585,36417391162,621638176,1655245828,36417391182,,,,,,,,,,,,,,,,,,,,,
4883887,586320918,36431121604,,,,,,,,,,,,,11262346884,586320918,36431121604,1028107,586320918,36431121604,621873001,1655868867,36431121624,,,,,,,,,,,,,,,,,,,,,
4885114,586539304,36444855496,,,,,,,,,,,,,11266600446,586539304,36444855496,1028366,586539304,36444855496,622107885,1656492062,36444855516,,,,,,,,,,,,,,,,,,,,,
4886342,586757745,36458592840,,,,,,,,,,,,,11270855078,586757745,36458592840,1028625,586757745,36458592840,622342828,1657115413,36458592860,,,,,,,,,,,,,,,,,,,,,
4887569,586976240,36472333635,,,,,,,,,,,,,11275110782,586976240,36472333635,1028884,586976240,36472333635,622577831,1657738921,36472333655,,,,,,,,,,,,,,,,,,,,,
4888797,587194789,36486077882,,,,,,,,,,,,,11279367556,587194789,36486077882,1029143,587194789,36486077882,622812892,1658362586,36486077902,,,,,,,,,,,,,,,,,,,,,
4890025,587413393,36499825582,,,,,,,,,,,,,11283625402,587413393,36499825582,1029402,587413393,36499825582,623048013,1658986406,36499825602,,,,,,,,,,,,,,,,,,,,,
4891253,587632051,36513576734,,,,,,,,,,,,,11287884320,587632051,36513576734,1029661,587632051,36513576734,623283193,1659610383,36513576754,,,,,,,,,,,,,,,,,,,,,
4892481,587850763,36527331340,,,,,,,,,,,,,11292144309,587850763,36527331340,1029920,587850763,36527331340,623518432,1660234517,36527331360,,,,,,,,,,,,,,,,,,,,,
4893709,588069529,36541089400,,,,,,,,,,,,,11296405369,588069529,36541089400,1030180,588069529,36541089400,623753731,1660858807,36541089420,,,,,,,,,,,,,,,,,,,,,
4894937,588288349,36554850914,,,,,,,,,,,,,11300667502,588288349,36554850914,1030439,588288349,36554850914,623989088,1661483253,36554850934,,,,,,,,,,,,,,,,,,,,,
4896166,588507224,36568615883,,,,,,,,,,,,,11304930706,588507224,36568615883,1030698,588507224,36568615883,624224505,1662107856,36568615903,,,,,,,,,,,,,,,,,,,,,
4897395,588726153,36582384306,,,,,,,,,,,,,11309194982,588726153,36582384306,1030957,588726153,36582384306,624459981,1662732616,36582384326,,,,,,,,,,,,,,,,,,,,,
4898623,588945136,36596156186,,,,,,,,,,,,,11313460331,588945136,36596156186,1031217,588945136,36596156186,624695516,1663357532,36596156206,,,,,,,,,,,,,,,,,,,,,
4899852,589164174,36609931521,,,,,,,,,,,,,11317726752,589164174,36609931521,1031476,589164174,36609931521,624931110,1663982604,36609931541,,,,,,,,,,,,,,,,,,,,,
4901082,589383266,36623710312,,,,,,,,,,,,,11321994245,589383266,36623710312,1031735,589383266,36623710312,625166764,1664607834,36623710332,,,,,,,,,,,,,,,,,,,,,
4902311,589602412,36637492561,,,,,,,,,,,,,11326262811,589602412,36637492561,1031995,589602412,36637492561,625402477,1665233219,36637492581,,,,,,,,,,,,,,,,,,,,,
4903540,589821612,36651278266,,,,,,,,,,,,,11330532450,589821612,36651278266,1032254,589821612,36651278266,625638249,1665858762,36651278286,,,,,,,,,,,,,,,,,,,,,
4904770,590040867,36665067430,,,,,,,,,,,,,11334803161,590040867,36665067430,1032514,590040867,36665067430,625874080,1666484461,36665067450,,,,,,,,,,,,,,,,,,,,,
4906000,590260176,36678860051,,,,,,,,,,,,,11339074946,590260176,36678860051,1032773,590260176,36678860051,626109971,1667110316,36678860071,,,,,,,,,,,,,,,,,,,,,
4907230,590479540,36692656131,,,,,,,,,,,,,11343347804,590479540,36692656131,1033033,590479540,36692656131,626345921,1667736329,36692656151,,,,,,,,,,,,,,,,,,,,,
4908460,590698958,36706455670,,,,,,,,,,,,,11347621735,590698958,36706455670,1033292,590698958,36706455670,626581930,1668362498,36706455690,,,,,,,,,,,,,,,,,,,,,
4909690,590918430,36720258668,,,,,,,,,,,,,11351896739,590918430,36720258668,1033552,590918430,36720258668,626817998,1668988824,36720258688,,,,,,,,,,,,,,,,,,,,,
4910920,591137956,36734065126,,,,,,,,,,,,,11356172817,591137956,36734065126,1033812,591137956,36734065126,627054126,1669615306,36734065146,,,,,,,,,,,,,,,,,,,,,
4912151,591357537,36747875045,,,,,,,,,,,,,11360449969,591357537,36747875045,1034071,591357537,36747875045,627290313,1670241945,36747875065,,,,,,,,,,,,,,,,,,,,,
4913382,591577172,36761688424,,,,,,,,,,,,,11364728194,591577172,36761688424,1034331,591577172,36761688424,627526559,1670868741,36761688444,,,,,,,,,,,,,,,,,,,,,
4914613,591796862,36775505265,,,,,,,,,,,,,11369007494,591796862,36775505265,1034591,591796862,36775505265,627762864,1671495694,36775505285,,,,,,,,,,,,,,,,,,,,,
4915844,592016605,36789325567,,,,,,,,,,,,,11373287867,592016605,36789325567,1034851,592016605,36789325567,627999229,1672122804,36789325587,,,,,,,,,,,,,,,,,,,,,
4917075,592236404,36803149331,,,,,,,,,,,,,11377569315,592236404,36803149331,1035110,592236404,36803149331,628235654,1672750070,36803149351,,,,,,,,,,,,,,,,,,,,,
4918306,592456256,36816976557,,,,,,,,,,,,,11381851837,592456256,36816976557,1035370,592456256,36816976557,628472137,1673377493,36816976577,,,,,,,,,,,,,,,,,,,,,
4919538,592676163,36830807246,,,,,,,,,,,,,11386135434,592676163,36830807246,1035630,592676163,36830807246,628708680,1674005074,36830807266,,,,,,,,,,,,,,,,,,,,,
4920769,592896125,36844641399,,,,,,,,,,,,,11390420105,592896125,36844641399,1035890,592896125,36844641399,628945282,1674632811,36844641419,,,,,,,,,,,,,,,,,,,,,
4922001,593116141,36858479015,,,,,,,,,,,,,11394705851,593116141,36858479015,1036150,593116141,36858479015,629181944,1675260705,36858479035,,,,,,,,,,,,,,,,,,,,,
4923233,593336211,36872320096,,,,,,,,,,,,,11398992672,593336211,36872320096,1036410,593336211,36872320096,629418665,1675888756,36872320116,,,,,,,,,,,,,,,,,,,,,
4924465,593556336,36886164641,,,,,,,,,,,,,11403280568,593556336,36886164641,1036670,593556336,36886164641,629655445,1676516963,36886164661,,,,,,,,,,,,,,,,,,,,,
4925697,593776515,36900012651,,,,,,,,,,,,,11407569539,593776515,36900012651,1036930,593776515,36900012651,629892285,1677145328,36900012671,,,,,,,,,,,,,,,,,,,,,
4926930,593996748,36913864127,,,,,,,,,,,,,11411859586,593996748,36913864127,1037190,593996748,36913864127,630129184,1677773850,36913864147,,,,,,,,,,,,,,,,,,,,,
4928162,594217036,36927719069,,,,,,,,,,,,,11416150708,594217036,36927719069,1037450,594217036,36927719069,630366142,1678402529,36927719089,,,,,,,,,,,,,,,,,,,,,
4929395,594437379,36941577477,,,,,,,,,,,,,11420442905,594437379,36941577477,1037710,594437379,36941577477,630603160,1679031365,36941577497,,,,,,,,,,,,,,,,,,,,,
4930628,594657776,36955439352,,,,,,,,,,,,,11424736178,594657776,36955439352,1037970,594657776,36955439352,630840237,1679660357,36955439372,,,,,,,,,,,,,,,,,,,,,
4931861,594878227,36969304694,,,,,,,,,,,,,11429030527,594878227,36969304694,1038231,594878227,36969304694,631077374,1680289507,36969304714,,,,,,,,,,,,,,,,,,,,,
4933094,595098733,36983173503,,,,,,,,,,,,,11433325952,595098733,36983173503,1038491,595098733,36983173503,631314570,1680918814,36983173523,,,,,,,,,,,,,,,,,,,,,
4934327,595319293,36997045781,,,,,,,,,,,,,11437622453,595319293,36997045781,1038751,595319293,36997045781,631551826,1681548279,36997045801,,,,,,,,,,,,,,,,,,,,,
4935561,595539908,37010921527,,,,,,,,,,,,,11441920031,595539908,37010921527,1039011,595539908,37010921527,631789140,1682177900,37010921547,,,,,,,,,,,,,,,,,,,,,
4936795,595760577,37024800743,,,,,,,,,,,,,11446218685,595760577,37024800743,1039272,595760577,37024800743,632026515,1682807678,37024800763,,,,,,,,,,,,,,,,,,,,,
4938028,595981301,37038683427,,,,,,,,,,,,,11450518415,595981301,37038683427,1039532,595981301,37038683427,632263949,1683437614,37038683447,,,,,,,,,,,,,,,,,,,,,
4939262,596202079,37052569582,,,,,,,,,,,,,11454819222,596202079,37052569582,1039792,596202079,37052569582,632501442,1684067706,37052569602,,,,,,,,,,,,,,,,,,,,,
4940496,596422912,37066459206,,,,,,,,,,,,,11459121105,596422912,37066459206,1040053,596422912,37066459206,632738995,1684697956,37066459226,,,,,,,,,,,,,,,,,,,,,
4941731,596643799,37080352302,,,,,,,,,,,,,11463424066,596643799,37080352302,1040313,596643799,37080352302,632976607,1685328364,37080352322,,,,,,,,,,,,,,,,,,,,,
4942965,596864741,37094248868,,,,,,,,,,,,,11467728104,596864741,37094248868,1040574,596864741,37094248868,633214279,1685958928,37094248888,,,,,,,,,,,,,,,,,,,,,
4944200,597085737,37108148906,,,,,,,,,,,,,11472033218,597085737,37108148906,1040834,597085737,37108148906,633452010,1686589650,37108148926,,,,,,,,,,,,,,,,,,,,,
4945434,597306788,37122052417,,,,,,,,,,,,,11476339411,597306788,37122052417,1041095,597306788,37122052417,633689801,1687220529,37122052437,,,,,,,,,,,,,,,,,,,,,
4946669,597527893,37135959399,,,,,,,,,,,,,11480646680,597527893,37135959399,1041355,597527893,37135959399,633927651,1687851565,37135959419,,,,,,,,,,,,,,,,,,,,,
4947904,597749053,37149869854,,,,,,,,,,,,,11484955027,597749053,37149869854,1041616,597749053,37149869854,634165561,1688482758,37149869874,,,,,,,,,,,,,,,,,,,,,
4949139,597970268,37163783783,,,,,,,,,,,,,11489264452,597970268,37163783783,1041877,597970268,37163783783,634403530,1689114109,37163783803,,,,,,,,,,,,,,,,,,,,,
4950375,598191537,37177701185,,,,,,,,,,,,,11493574955,598191537,37177701185,1042137,598191537,37177701185,634641559,1689745618,37177701205,,,,,,,,,,,,,,,,,,,,,
4951610,598412860,37191622062,,,,,,,,,,,,,11497886536,598412860,37191622062,1042398,598412860,37191622062,634879647,1690377283,37191622082,,,,,,,,,,,,,,,,,,,,,
4952846,598634238,37205546413,,,,,,,,,,,,,11502199195,598634238,37205546413,1042659,598634238,37205546413,635117795,1691009106,37205546433,,,,,,,,,,,,,,,,,,,,,
4954082,598855671,37219474239,,,,,,,,,,,,,11506512932,598855671,37219474239,1042920,598855671,37219474239,635356002,1691641087,37219474259,,,,,,,,,,,,,,,,,,,,,
4955318,599077158,37233405541,,,,,,,,,,,,,11510827748,599077158,37233405541,1043181,599077158,37233405541,635594269,1692273225,37233405561,,,,,,,,,,,,,,,,,,,,,
4956554,599298700,37247340318,,,,,,,,,,,,,11515143642,599298700,37247340318,1043441,599298700,37247340318,635832595,1692905520,37247340338,,,,,,,,,,,,,,,,,,,,,
4957790,599520297,37261278572,,,,,,,,,,,,,11519460615,599520297,37261278572,1043702,599520297,37261278572,636070981,1693537973,37261278592,,,,,,,,,,,,,,,,,,,,,
4959026,599741948,37275220303,,,,,,,,,,,,,11523778667,599741948,37275220303,1043963,599741948,37275220303,636309427,1694170583,37275220323,,,,,,,,,,,,,,,,,,,,,
4960263,599963654,37289165511,,,,,,,,,,,,,11528097797,599963654,37289165511,1044224,599963654,37289165511,636547932,1694803351,37289165531,,,,,,,,,,,,,,,,,,,,,
4961500,600185414,37303114196,,,,,,,,,,,,,11532418007,600185414,37303114196,1044485,600185414,37303114196,636786497,1695436277,37303114216,,,,,,,,,,,,,,,,,,,,,
4962737,600407229,37317066360,,,,,,,,,,,,,11536739296,600407229,37317066360,1044746,600407229,37317066360,637025122,1696069360,37317066380,,,,,,,,,,,,,,,,,,,,,
4963974,600629099,37331022001,,,,,,,,,,,,,11541061664,600629099,37331022001,1045007,600629099,37331022001,637263806,1696702600,37331022021,,,,,,,,,,,,,,,,,,,,,
4965211,600851023,37344981122,,,,,,,,,,,,,11545385112,600851023,37344981122,1045268,600851023,37344981122,637502549,1697335998,37344981142,,,,,,,,,,,,,,,,,,,,,
4966448,601073002,37358943723,,,,,,,,,,,,,11549709639,601073002,37358943723,1045529,601073002,37358943723,637741352,1697969554,37358943743,,,,,,,,,,,,,,,,,,,,,
4967686,601295036,37372909803,,,,,,,,,,,,,11554035246,601295036,37372909803,1045791,601295036,37372909803,637980215,1698603267,37372909823,,,,,,,,,,,,,,,,,,,,,
4968923,601517124,37386879363,,,,,,,,,,,,,11558361933,601517124,37386879363,1046052,601517124,37386879363,638219138,1699237138,37386879383,,,,,,,,,,,,,,,,,,,,,
4970161,601739267,37400852404,,,,,,,,,,,,,11562689700,601739267,37400852404,1046313,601739267,37400852404,638458120,1699871167,37400852424,,,,,,,,,,,,,,,,,,,,,
4971399,601961464,37414828926,,,,,,,,,,,,,11567018547,601961464,37414828926,1046574,601961464,37414828926,638697162,1700505354,37414828946,,,,,,,,,,,,,,,,,,,,,
4972637,602183717,37428808930,,,,,,,,,,,,,11571348475,602183717,37428808930,1046835,602183717,37428808930,638936263,1701139698,37428808950,,,,,,,,,,,,,,,,,,,,,
4973875,602406024,37442792415,,,,,,,,,,,,,11575679482,602406024,37442792415,1047097,602406024,37442792415,639175424,1701774200,37442792435,,,,,,,,,,,,,,,,,,,,,
4975114,602628385,37456779383,,,,,,,,,,,,,11580011571,602628385,37456779383,1047358,602628385,37456779383,639414645,1702408859,37456779403,,,,,,,,,,,,,,,,,,,,,
4976352,602850802,37470769834,,,,,,,,,,,,,11584344740,602850802,37470769834,1047619,602850802,37470769834,639653926,1703043677,37470769854,,,,,,,,,,,,,,,,,,,,,
4977591,603073273,37484763768,,,,,,,,,,,,,11588678990,603073273,37484763768,1047881,603073273,37484763768,639893266,1703678652,37484763788,,,,,,,,,,,,,,,,,,,,,
4978830,603295798,37498761186,,,,,,,,,,,,,11593014321,603295798,37498761186,1048142,603295798,37498761186,640132666,1704313785,37498761206,,,,,,,,,,,,,,,,,,,,,
4980069,603518379,37512762087,,,,,,,,,,,,,11597350733,603518379,37512762087,1048404,603518379,37512762087,640372125,1704949075,37512762107,,,,,,,,,,,,,,,,,,,,,
4981308,603741014,37526766474,,,,,,,,,,,,,11601688226,603741014,37526766474,1048665,603741014,37526766474,640611645,1705584524,37526766494,,,,,,,,,,,,,,,,,,,,,
4982548,603963704,37540774345,,,,,,,,,,,,,11606026801,603963704,37540774345,1048927,603963704,37540774345,640851224,1706220131,37540774365,,,,,,,,,,,,,,,,,,,,,
4983787,604186449,37554785702,,,,,,,,,,,,,11610366457,604186449,37554785702,1049188,604186449,37554785702,641090862,1706855895,37554785722,,,,,,,,,,,,,,,,,,,,,
4985027,604409248,37568800545,,,,,,,,,,,,,11614707194,604409248,37568800545,1049450,604409248,37568800545,641330561,1707491817,37568800565,,,,,,,,,,,,,,,,,,,,,
4986267,604632103,37582818874,,,,,,,,,,,,,11619049014,604632103,37582818874,1049712,604632103,37582818874,641570319,1708127898,37582818894,,,,,,,,,,,,,,,,,,,,,
4987507,604855011,37596840690,,,,,,,,,,,,,11623391915,604855011,37596840690,1049973,604855011,37596840690,641810137,1708764136,37596840710,,,,,,,,,,,,,,,,,,,,,
4988747,605077975,37610865992,,,,,,,,,,,,,11627735899,605077975,37610865992,1050235,605077975,37610865992,642050015,1709400532,37610866012,,,,,,,,,,,,,,,,,,,,,
4989987,605300994,37624894783,,,,,,,,,,,,,11632080965,605300994,37624894783,1050497,605300994,37624894783,642289952,1710037086,37624894803,,,,,,,,,,,,,,,,,,,,,
4991227,605524067,37638927062,,,,,,,,,,,,,11636427112,605524067,37638927062,1050758,605524067,37638927062,642529949,1710673798,37638927082,,,,,,,,,,,,,,,,,,,,,
4992468,605747195,37652962829,,,,,,,,,,,,,11640774343,605747195,37652962829,1051020,605747195,37652962829,642770006,1711310669,37652962849,,,,,,,,,,,,,,,,,,,,,
4993709,605970378,37667002084,,,,,,,,,,,,,11645122656,605970378,37667002084,1051282,605970378,37667002084,643010123,1711947697,37667002104,,,,,,,,,,,,,,,,,,,,,
4994950,606193616,37681044830,,,,,,,,,,,,,11649472052,606193616,37681044830,1051544,606193616,37681044830,643250300,1712584883,37681044850,,,,,,,,,,,,,,,,,,,,,
